date,tickets_open,tickets_new,total
2024-04-15 00:00:00.000000 UTC,0,0,0
2024-04-15 07:00:00.000000 UTC,44,54,98
2024-04-16 00:00:00.000000 UTC,210,268,478
2024-04-16 07:00:00.000000 UTC,175,277,452
2024-04-17 00:00:00.000000 UTC,183,278,461
2024-04-17 07:00:00.000000 UTC,171,219,390
2024-04-18 00:00:00.000000 UTC,209,157,366
2024-04-18 07:00:00.000000 UTC,211,108,319
2024-04-19 00:00:00.000000 UTC,218,117,335
2024-04-19 07:00:00.000000 UTC,241,59,300
2024-04-20 00:00:00.000000 UTC,232,142,374
2024-04-20 07:00:00.000000 UTC,243,115,358
2024-04-21 00:00:00.000000 UTC,289,145,434
2024-04-21 07:00:00.000000 UTC,281,111,392
2024-04-22 00:00:00.000000 UTC,301,104,405
2024-04-22 07:00:00.000000 UTC,288,89,377
2024-04-23 00:00:00.000000 UTC,309,145,454
2024-04-23 07:00:00.000000 UTC,263,83,346
2024-04-24 00:00:00.000000 UTC,191,100,291
2024-04-24 07:00:00.000000 UTC,175,53,228
2024-04-25 00:00:00.000000 UTC,256,33,289
2024-04-25 07:00:00.000000 UTC,224,29,253
2024-04-26 00:00:00.000000 UTC,278,45,323
2024-04-26 07:00:00.000000 UTC,287,61,348
2024-04-27 00:00:00.000000 UTC,255,26,281
2024-04-27 07:00:00.000000 UTC,258,33,291
2024-04-28 00:00:00.000000 UTC,335,59,394
2024-04-28 07:00:00.000000 UTC,290,51,341
2024-04-29 00:00:00.000000 UTC,226,38,264
2024-04-29 07:00:00.000000 UTC,218,37,255
2024-04-30 00:00:00.000000 UTC,241,35,276
2024-04-30 07:00:00.000000 UTC,210,50,260